Step,Function,Nodes,p,changes,cycling check,Is isomorphic,Test result,Test execution time,NX execution time
0,first_test,20,0.2,1,1,False,False,0.0,0.0
0,second_test,20,0.2,1,1,False,False,0.0010013580322265625,0.0
0,third_test,20,0.2,1,1,False,False,0.0,0.0
1,dummy_test,20,0.2,1,1,False,False,0.0,0.0005044937133789062
1,first_test,20,0.2,1,1,False,False,0.0,0.0005044937133789062
1,second_test,20,0.2,1,1,False,False,0.0005030632019042969,0.0005044937133789062
1,third_test,20,0.2,1,1,False,False,0.0,0.0005044937133789062
2,dummy_test,20,0.2,1,1,False,False,0.0,0.0
2,first_test,20,0.2,1,1,False,False,0.0,0.0
2,second_test,20,0.2,1,1,False,False,0.0,0.0
2,third_test,20,0.2,1,1,False,False,0.0,0.0
3,dummy_test,20,0.2,1,1,False,False,0.0,0.0
3,first_test,20,0.2,1,1,False,False,0.0,0.0
3,second_test,20,0.2,1,1,False,False,0.0005040168762207031,0.0
3,third_test,20,0.2,1,1,False,False,0.0,0.0
4,dummy_test,20,0.2,1,1,False,False,0.0,0.0
4,first_test,20,0.2,1,1,False,False,0.0,0.0
4,second_test,20,0.2,1,1,False,False,0.0,0.0
4,third_test,20,0.2,1,1,False,False,0.0010042190551757812,0.0
5,dummy_test,20,0.2,1,1,False,False,0.0,0.0
5,first_test,20,0.2,1,1,False,False,0.0,0.0
5,second_test,20,0.2,1,1,False,False,0.0,0.0
5,third_test,20,0.2,1,1,False,False,0.0,0.0
6,dummy_test,20,0.2,1,1,False,False,0.0009992122650146484,0.0
6,first_test,20,0.2,1,1,False,False,0.0,0.0
6,second_test,20,0.2,1,1,False,False,0.0,0.0
6,third_test,20,0.2,1,1,False,False,0.0,0.0
7,dummy_test,20,0.2,1,1,False,False,0.0,0.0
7,first_test,20,0.2,1,1,False,False,0.0,0.0
7,second_test,20,0.2,1,1,False,False,0.0009999275207519531,0.0
7,third_test,20,0.2,1,1,False,False,0.0,0.0
8,dummy_test,20,0.2,1,1,False,False,0.0,0.0
8,first_test,20,0.2,1,1,False,False,0.0,0.0
8,second_test,20,0.2,1,1,False,False,0.0,0.0
8,third_test,20,0.2,1,1,False,False,0.0009999275207519531,0.0
9,dummy_test,20,0.2,1,1,False,False,0.0,0.0
9,first_test,20,0.2,1,1,False,False,0.0,0.0
9,second_test,20,0.2,1,1,False,False,0.0,0.0
9,third_test,20,0.2,1,1,False,False,0.0,0.0
0,dummy_test,20,0.2,1,5,False,False,0.0,0.0
0,first_test,20,0.2,1,5,False,False,0.001001119613647461,0.0
0,second_test,20,0.2,1,5,False,False,0.0,0.0
0,third_test,20,0.2,1,5,False,False,0.0,0.0
1,dummy_test,20,0.2,1,5,False,False,0.0,0.0
1,first_test,20,0.2,1,5,False,False,0.00150299072265625,0.0
1,second_test,20,0.2,1,5,False,False,0.0,0.0
1,third_test,20,0.2,1,5,False,True,0.0,0.0
2,dummy_test,20,0.2,1,5,False,False,0.0010042190551757812,0.0
2,first_test,20,0.2,1,5,False,False,0.001104116439819336,0.0
2,second_test,20,0.2,1,5,False,False,0.0,0.0
2,third_test,20,0.2,1,5,False,False,0.0,0.0
3,dummy_test,20,0.2,1,5,False,False,0.0009992122650146484,0.0
3,first_test,20,0.2,1,5,False,False,0.0,0.0
3,second_test,20,0.2,1,5,False,False,0.0,0.0
3,third_test,20,0.2,1,5,False,False,0.0,0.0
4,dummy_test,20,0.2,1,5,False,False,0.0,0.0
4,first_test,20,0.2,1,5,False,False,0.0,0.0
4,second_test,20,0.2,1,5,False,False,0.0009999275207519531,0.0
4,third_test,20,0.2,1,5,False,True,0.0,0.0
5,dummy_test,20,0.2,1,5,False,False,0.0,0.0010013580322265625
5,first_test,20,0.2,1,5,False,False,0.0,0.0010013580322265625
5,second_test,20,0.2,1,5,False,False,0.0,0.0010013580322265625
5,third_test,20,0.2,1,5,False,False,0.0009989738464355469,0.0010013580322265625
6,dummy_test,20,0.2,1,5,False,False,0.0,0.0
6,first_test,20,0.2,1,5,False,False,0.0010008811950683594,0.0
6,second_test,20,0.2,1,5,False,False,0.0,0.0
6,third_test,20,0.2,1,5,False,True,0.0,0.0
7,dummy_test,20,0.2,1,5,False,False,0.0,0.0
7,first_test,20,0.2,1,5,False,False,0.00099945068359375,0.0
7,second_test,20,0.2,1,5,False,False,0.0,0.0
7,third_test,20,0.2,1,5,False,False,0.0005040168762207031,0.0
8,dummy_test,20,0.2,1,5,False,False,0.0005123615264892578,0.0
8,first_test,20,0.2,1,5,False,False,0.0,0.0
8,second_test,20,0.2,1,5,False,False,0.0009279251098632812,0.0
8,third_test,20,0.2,1,5,False,False,0.0005044937133789062,0.0
9,dummy_test,20,0.2,1,5,False,False,0.0,0.0
9,first_test,20,0.2,1,5,False,False,0.0,0.0
9,second_test,20,0.2,1,5,False,False,0.001003265380859375,0.0
9,third_test,20,0.2,1,5,False,False,0.0,0.0
0,dummy_test,20,0.2,1,10,False,False,0.0010008811950683594,0.0
0,first_test,20,0.2,1,10,False,False,0.0,0.0
0,second_test,20,0.2,1,10,False,False,0.0010006427764892578,0.0
0,third_test,20,0.2,1,10,False,False,0.0,0.0
1,dummy_test,20,0.2,1,10,False,True,0.0009989738464355469,0.0
1,first_test,20,0.2,1,10,False,False,0.0,0.0
1,second_test,20,0.2,1,10,False,False,0.0010001659393310547,0.0
1,third_test,20,0.2,1,10,False,False,0.0,0.0
2,dummy_test,20,0.2,1,10,False,False,0.0009992122650146484,0.0
2,first_test,20,0.2,1,10,False,False,0.0,0.0
